@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

iris,1,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003214,0.003416,0.723107,0.724543,23.774438,0.104576,23.669862,1.584963,0.006972,1.577991,23.669862,1.577991,99.560134,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.011,0.000204,0.004514,0.204,4.514,12262,10633,2353,100,33.333333,?
iris,2,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047331,0.21007,10.649578,44.56253,23.774438,8.769911,15.004526,1.584963,0.584661,1.000302,21.510567,1.434038,90.47771,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.953333,0.901587,0.93266,0.933333,0,0.002,0.000267,0.000735,0.267,0.735,12262,10633,2353,93.333333,33.333333,?
iris,2,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,12,3,0,80,20,0,0.7,0.120915,0.328523,27.205882,69.690213,23.774438,19.014886,4.759551,1.584963,1.267659,0.317303,17.771633,1.184776,74.751012,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.805556,0.8,0.79798,0.703451,0.893333,0.794444,0.79798,0.8,0.001,0,0.000361,0.000447,0.361,0.447,12262,10633,2353,86.666667,35.555556,?
iris,2,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.062092,0.172163,13.970588,36.521253,23.774438,2.850588,20.923849,1.584963,0.190039,1.394923,20.923849,1.394923,88.009861,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.993333,0.977778,0.93266,0.933333,0.001,0.002,0.000269,0.001411,0.269,1.411,12262,10633,2353,100,40,?
iris,2,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0.000679,0.000416,0.679,0.416,12262,10633,2353,100,33.333333,?
iris,2,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.03268,0.0998,7.352941,21.170853,23.774438,1.272715,22.501722,1.584963,0.084848,1.500115,22.501722,1.500115,94.646708,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.000368,0.000377,0.368,0.377,12262,10633,2353,100,37.777778,?
iris,2,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.210071,10.661765,44.562706,23.774438,8.771677,15.00276,1.584963,0.584778,1.000184,21.508801,1.43392,90.470283,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0.003,0,0.000716,0.000607,0.716,0.607,12262,10633,2353,93.333333,33.333333,?
iris,2,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.004,0.001,0.002784,0.000696,2.784,0.696,12262,10633,2353,100,33.333333,?
iris,2,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.210071,10.661765,44.562706,23.774438,8.771677,15.00276,1.584963,0.584778,1.000184,21.508801,1.43392,90.470283,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0.003,0.00023,0.002832,0.23,2.832,12262,10633,2353,93.333333,33.333333,?
iris,2,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.03268,0.140328,7.352941,29.768062,23.774438,1.684214,22.090223,1.584963,0.112281,1.472682,22.090223,1.472682,92.91586,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.003,0,0.00169,0.000479,1.69,0.479,12262,10633,2353,100,35.555556,?
iris,2,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.01792,0.07061,4.03193,14.978556,23.774438,0.687762,23.086675,1.584963,0.045851,1.539112,23.086675,1.539112,97.107135,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0.000265,0.000588,0.265,0.588,12262,10633,2353,100,35.555556,?
iris,3,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.01792,0.07061,4.03193,14.978556,23.774438,0.687762,23.086675,1.584963,0.045851,1.539112,23.086675,1.539112,97.107135,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.001,0.000226,0.000342,0.226,0.342,12262,10633,2353,100,35.555556,?
iris,3,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.076743,0.232546,17.267225,49.33035,23.774438,9.936285,13.838152,1.584963,0.662419,0.922543,20.344193,1.35628,85.571711,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.943333,0.891111,0.93266,0.933333,0,0,0.000161,0.000334,0.161,0.334,12262,10633,2353,93.333333,37.777778,?
iris,3,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.017974,0.070612,4.044118,14.97908,23.774438,0.689528,23.084909,1.584963,0.045969,1.538994,23.084909,1.538994,97.099707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0.000262,0.000403,0.262,0.403,12262,10633,2353,100,35.555556,?
iris,3,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003214,0.003416,0.723107,0.724543,23.774438,0.104576,23.669862,1.584963,0.006972,1.577991,23.669862,1.577991,99.560134,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.003,0.003,0.002148,0.002003,2.148,2.003,12262,10633,2353,100,33.333333,?
iris,3,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,13,2,0,86.666667,13.333333,0,0.8,0.091449,0.297064,20.576048,63.016769,23.774438,17.435247,6.33919,1.584963,1.16235,0.422613,19.351272,1.290085,81.395286,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.906667,0.819048,0.861111,0.866667,0,0.001,0.000162,0.000442,0.162,0.442,12262,10633,2353,86.666667,33.333333,?
iris,3,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.003268,0.003466,0.735294,0.735294,23.774438,0.106341,23.668096,1.584963,0.007089,1.577873,23.668096,1.577873,99.552707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.000248,0.000361,0.248,0.361,12262,10633,2353,100,33.333333,?
iris,3,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047386,0.157054,10.661765,33.316208,23.774438,2.267401,21.507036,1.584963,0.15116,1.433802,21.507036,1.433802,90.46286,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.993333,0.977778,0.93266,0.933333,0,0.001,0.000183,0.000306,0.183,0.306,12262,10633,2353,100,37.777778,?
iris,3,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220305.0656,135,15,15,0,0,100,0,0,1,0.047331,0.122204,10.649578,25.923378,23.774438,1.854136,21.920301,1.584963,0.123609,1.461353,21.920301,1.461353,92.201135,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0.005,0.001795,0.00344,1.795,3.44,12262,10633,2353,100,40,?
